"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-06",,"53","37"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-07",,"43","27"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-08",,"39","23"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-09",,"45","23"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-10",,"39","28"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-11",,"37","24"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-12",,"42","16"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-13",,"34","30"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-14",,"41","30"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-15",,"45","30"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-16",,"54","23"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-17",,"64","27"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-18",,"54","38"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-19",,"47","35"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-20",,"59","34"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-21",,"70","46"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-22",,"67","54"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-23",,"72","55"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-24",,"57","40"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-25",,"57","40"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-26",,"54","33"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-27",,"75","49"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-28",,"66","44"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-29",,"47","30"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-30",,"40","26"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-31",,"49","22"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-01",,"46","33"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-02",,"47","30"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-03",,"63","26"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-04",,"73","36"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-05",,"65","52"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-06",,"74","46"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-07",,"82","56"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-08",,"81","61"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-09",,"79","56"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-10",,"59","40"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-11",,"54","32"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-12",,"59","32"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-13",,"52","44"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-14",,"50","44"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-15",,"68","46"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-16",,"73","50"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-17",,"63","45"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-18",,"64","37"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-19",,"58","48"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-20",,"53","43"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-21",,"45","39"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-22",,"52","38"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-23",,"60","40"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-24",,"54","42"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-25",,"69","37"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-26",,"74","52"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-27",,"80","50"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-28",,"80","59"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-29",,"80","63"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-04-30",,"75","59"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-01",,"78","51"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-02",,"62","48"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-03",,"63","41"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-04",,"72","42"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-05",,"81","52"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-06",,"71","48"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-07",,"64","46"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-08",,"73","46"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-09",,"69","54"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-10",,"79","49"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-11",,"82","50"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-12",,"86","57"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-13",,"90","64"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-14",,"89","65"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-15",,"88","56"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-16",,"88","61"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-17",,"84","68"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-18",,"68","56"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-19",,"66","53"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-20",,"77","52"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-21",,"84","56"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-22",,"88","62"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-23",,"89","56"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-24",,"86","66"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-05-25",,"86","68"
